No Urut;Nama Barang;Merk/Type;Kategori;Tahun Perolehan;Sumber Dana;Jumlah Unit; Harga Satuan Rp ; Nilai              Rp ;UE Thn;Tarif %; Akumulasi ; Nilai Buku Rp ; PJ ;;;
1;Setrika ;Phillips HD 1172;Elektronik Multimedia;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
2;Meja Setrika;;Elektronik Multimedia;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
3;Komputer;;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
4;Monitor;Samsung 551V;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
5;Printer;Canon E100ZT;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
6;CD ROM;Liteon 52X;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
7;Casing CD;;Komputer;2003;YPM;20;;;4;;#REF!;#REF!; Pusat ;;;
8;Tinta ;Canon 21E Black Original;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
9;CPU;Dell P2 350 MHz;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
10;Monitor;"Acer 17""";Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
11;Keyboard;Multimedia Platinum;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
12;Printer;Canon S200SPX;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
13;Scanner ;Canon D646U EX;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
14;Modem;Prolink Motorola 56K INT;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
15;Stabilizer;;Elektronik Multimedia;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
16;CD RW;Plaxtor;Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
17;Monitor;"LG Flatron 17""";Komputer;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
18;Telepon;Tonotel RX - TS 45;Elektronik Multimedia;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
19;Perlengkapan Telepon;KDU.PM,SD2PTH;Elektronik Multimedia;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
20;Perlengkapan Telepon;TC,TAI.SOC4KPTR;Elektronik Multimedia;2003;YPM;3;;;4;;#REF!;#REF!; Pusat ;;;
21;Kabel ;Snack 16CH;Elektronik Multimedia;2003;YPM;15;;;4;;#REF!;#REF!; Pusat ;;;
22;Rugos;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
23;Plamir;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
24;Cat;Fixbon;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
25;Sekrup;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
26;Soket ;Canon;Peralatan Lainnya;2003;YPM;4;;;4;;#REF!;#REF!; Pusat ;;;
27;Jack Mono;;Elektronik Multimedia;2003;YPM;4;;;4;;#REF!;#REF!; Pusat ;;;
28;Jack RCA;;Elektronik Multimedia;2003;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
29;Jack Cabang RCH;;Elektronik Multimedia;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
30;Pilox;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
31;Kaki Box Karet;;Peralatan Lainnya;2003;YPM;4;;;4;;#REF!;#REF!; Pusat ;;;
32;Karet Versi;;Peralatan Lainnya;2003;YPM;48;;;4;;#REF!;#REF!; Pusat ;;;
33;Perlengkapan Listrik;KDU.PM.SDOPTH;Elektronik Multimedia;2003;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
34;Selang Kabel;;Elektronik Multimedia;2003;YPM;15;;;4;;#REF!;#REF!; Pusat ;;;
35;Box Kabel;Snack 16CH;Elektronik Multimedia;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
36;Pelampung;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
37;Selotip;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
38;Fan;220 V;Elektronik Multimedia;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
39;Kabel Telepon;;Elektronik Multimedia;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
40;Kabel dan Soket Telepon;;Elektronik Multimedia;2003;YPM;4;;;4;;#REF!;#REF!; Pusat ;;;
41;Kabel Ties;;Elektronik Multimedia;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
42;Kipas AC;;Elektronik Multimedia;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
43;Tang Potong;;Peralatan Lainnya;2003;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
